French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
vieux,old
sois,be
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
espère,hope
eau,water
parti,left
nouvelle,new
arrêter,Stop
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
filles,girls
jouer,to play
bureau,office
